,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,0.0,0.0001089000000000001,"[0, 0, 0, 0]",geometric,1,0.99,0.001,0.9999989055190245,1,8192
1,1,5.0,0.0021030000000000003,"[0, 0, 1, 0]",geometric,1,0.99,0.001,0.9999788643670607,1,8192
2,2,5.0,0.2968844,"[0, 0, 1, 0]",geometric,1,0.99,0.001,0.9970206591414008,1,8192
3,4,6.0,0.3056427,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9969329014004114,1,8192
4,8,10.0,0.3149383,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9968397683892628,1,8192
5,16,10.0,0.3228049,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9967609593868195,1,8192
6,32,10.0,1.2731957,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9872854768966663,1,8192
7,64,10.0,1.2833105,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9871851173828105,1,8192
8,128,10.0,1.2947994,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.987071136359832,1,8192
9,256,10.0,1.3122536,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9868979989628082,1,8192
10,512,10.0,1.340389,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9866189730511115,1,8192
11,1024,10.0,1.3999604,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9860284486578097,1,8192
12,2048,10.0,1.6296068000000001,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9837552961321081,1,8192
13,4096,10.0,2.2997046,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9771522512704084,1,8192
14,8192,10.0,2.6871007000000002,"[1, 1, 1, 0]",geometric,1,0.99,0.001,0.9733551439149509,1,8192
15,0,0.0,9.380000000014377e-05,"[0, 0, 0, 0]",geometric,10,0.99,0.001,9.999990572789413,10,8192
16,1,5.0,0.0013448999999998712,"[0, 0, 1, 0]",geometric,10,0.99,0.001,9.999864833946608,10,8192
17,2,5.0,0.032759299999999936,"[0, 0, 1, 0]",geometric,10,0.99,0.001,9.99670812226863,10,8192
18,4,1.0,0.06448929999999997,"[1, 0, 0, 0]",geometric,10,0.99,0.001,9.993520708728333,10,8192
19,8,5.0,0.09887850000000009,"[0, 0, 1, 0]",geometric,10,0.99,0.001,9.990067314843722,10,8192
20,16,0.0,0.13125620000000016,"[1, 1, 1, 1]",geometric,10,0.99,0.001,9.986817008279514,10,8192
21,32,8.0,0.1633947,"[1, 0, 0, 1]",geometric,10,0.99,0.001,9.983591760143403,10,8192
22,64,7.0,0.19708300000000012,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.980212100503788,10,8192
23,128,9.0,0.23332810000000004,"[0, 1, 1, 0]",geometric,10,0.99,0.001,9.976577216558557,10,8192
24,256,10.0,0.27321099999999987,"[1, 1, 1, 0]",geometric,10,0.99,0.001,9.972579041228823,10,8192
25,512,10.0,0.3245876999999999,"[1, 1, 1, 0]",geometric,10,0.99,0.001,9.96743099844345,10,8192
26,1024,10.0,0.40672489999999994,"[1, 1, 1, 0]",geometric,10,0.99,0.001,9.95920621517639,10,8192
27,2048,10.0,0.610919,"[1, 1, 1, 0]",geometric,10,0.99,0.001,9.938788697902469,10,8192
